Activity,livingroom_tempterature,livingroom_humidity,livingroom_luminance,study_tempterature,study_humidity,study_luminance,kitchen_tempterature,kitchen_humidity,kitchen_luminance,hallway_tempterature,hallway_humidity,hallway_luminance,bedroom_tempterature,bedroom_humidity,bedroom_luminance,light_livingroom,light_hallway,light_bedroom,light_kitchen,light_study,switch_door_hallway,audio_livingroom,current_watercoldfan_livingroom,current_lamp_bedroom,current_PC_bedroom,current_TV_livingroom,current_lamp_livingroom,current_xbox_livingroom,current_microwave_kitchen,current_AC_bedroom,current_AC_livingroom,current_lamp_study,current_NB_study,current_nightlamp_bedroom,people_hallway,people_livingroom,people_bedroom,people_kitchen,people_study,Timestamp
 PlayingKinect,24.64,56.79,96.6,26.09,49.02,6.3,27.82,44.41,10.75,27.01,54.85,18,25.28,51.17,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-02
 PlayingKinect,24.64,56.79,96.6,26.08,49.02,4.2,27.82,44.41,10.75,27.01,54.85,18,25.28,51.17,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-03
 PlayingKinect,24.64,56.79,96.6,26.08,49.02,6.3,27.82,44.48,10.75,27.01,54.29,22,25.28,51.17,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-04
 PlayingKinect,24.64,56.79,96.6,26.07,48.97,6.3,27.82,44.6,10.75,27.02,54.05,18,25.29,51.17,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-05
 PlayingKinect,24.64,56.79,96.6,26.08,48.97,4.2,27.82,44.6,10.75,27,53.73,18,25.29,51.17,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-06
 PlayingKinect,24.64,56.79,96.6,26.06,48.91,4.2,27.82,44.48,12.9,26.99,53.98,16,25.27,51.16,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-07
 PlayingKinect,24.64,56.79,96.6,26.06,48.91,8.4,27.82,44.48,12.9,27.01,54.36,18,25.27,51.16,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-08
 PlayingKinect,24.63,56.79,96.6,26.05,48.91,10.5,27.82,44.48,12.9,27,54.59,20,25.27,51.16,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  on_1,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-09
 PlayingKinect,24.63,56.79,96.6,26.05,48.91,10.5,27.82,44.48,12.9,27.01,54.72,20,25.24,51.03,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  on_1,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-10
 PlayingKinect,24.63,56.79,96.6,26.07,48.91,16.8,27.84,44.53,10.75,27.01,54.72,20,25.24,51.03,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-10
 PlayingKinect,24.64,56.79,96.6,26.06,48.91,4.2,27.83,44.6,8.6,27.01,54.67,14,25.23,50.92,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-11
 PlayingKinect,24.64,56.79,96.6,26.07,48.91,8.4,27.84,44.6,10.75,27.03,54.59,16,25.23,50.92,27,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-12
