NoActivity, 2015-04-07-07-45-03,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-08,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-13,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-19,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-24,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-29,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-34,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-39,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-44,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-51,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-54,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-46-00,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-46-10,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-46-20,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,23.05,-1595.41,293895, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-25,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-30,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-36,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-41,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-46,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-51,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
